,NID,Quarter,Herd,Lact,M_Sys,HWI,ABV_M_Resist,PI-M,Gest,DIM,AbCode,DCC,Ab_RxStat,TBred,Lact_xLame,Life_xLame,Lact_xMetabolic,Life_xMetabolic,Lact_xmast,Lact_qxmast,Life_xmast,TLSCC,TL150SCC,TL200SCC,TL_mean_logSCC,TL_sd_logSCC,LIFESCC,LIFE150SCC,LIFE200SCC,Outcome_Mean_logSCC_next_lact,Outcome_Std_logSCC_next_lact,Outcome_Count_logSCC_next_lact,Outcome_Next_Lact_max_xmast,Outcome_failure_T,Outcome_failure_D,Outcome_Lact_mast_reoccur,Outcome_Recurred,Pregnant,Outcome_Sold,Outcome_num_tests_30to60,Outcome_num_tests_30to60_SCC<200,Outcome_num_tests_60to90,Outcome_num_tests_60to90_SCC<200,Outcome_num_tests_after90,Outcome_num_tests_after90_SCC<200,Outcome_num_tests_30to100,Outcome_30to100_mean_logSCC,Outcome_30to100_sd_mean_logSCC,Outcome_num_tests_30to150,Outcome_30to150_mean_logSCC,Outcome_30to150_sd_mean_logSCC,DSLB,Outcome_Failure,pre_num_tests_0to30,pre_num_tests_0to30_max,pre_num_tests_0to30_logmean,pre_num_tests_0to30_SCC>150,pre_num_tests_0to30_SCC>200,pre_num_tests_0to30_SCC>1000,pre_num_tests_31to60,pre_num_tests_31to60_max,pre_num_tests_31to60_logmean,pre_num_tests_31to60_SCC>150,pre_num_tests_31to60_SCC>200,pre_num_tests_31to60_SCC>1000,pre_num_tests_61to90,pre_num_tests_61to90_max,pre_num_tests_61to90_logmean,pre_num_tests_61to90_SCC>150,pre_num_tests_61to90_SCC>200,pre_num_tests_61to90_SCC>1000,pre_num_tests_g90,pre_num_tests_g90_max,pre_num_tests_g90_logmean,pre_num_tests_g90_SCC>150,pre_num_tests_g90_SCC>200,pre_num_tests_g90_SCC>1000,prelact_SCC_count,prelact_SCC_max,prelact_logSCC_mean,prelact_SCC>150,prelact_SCC>200,prelact_SCC>1000,Rx_Year,Rx_Month,Prev_AllRxCodes,Outcome_Sold100,Outcome_Rec100,Outcome_Shortloss,Outcome_Longloss,pre_herd_mast_percent,pre_herd_fresh_mast_percent,pre_herd_greater14day_mast_percent,pre_herd_SCC_percent_g150,pre_herd_SCC__DIM_less31_percent_g150,pre_herd_SCC__DIM_more30_percent_g150,pre_herd_SCC_percent_g200,pre_herd_SCC__DIM_less31_percent_g200,pre_herd_SCC__DIM_more30_percent_g200
0,200003599,22,2G0064V,2,,,,0,,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,3.871201010907891,99.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,10,9999999,0,0.0,0.0,0.0,3.7037037037037033,33.33333333333333,0.0,,,,,,
1,200003605,22,2G0064V,5,,,,101,,308,0,215.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,2.0,2.0,2.0,5.588418577319942,0.2003674825687381,2.0,2.0,2.0,,,,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,2.0,308.0,5.588418577319942,2.0,2.0,0.0,,,,,,,2008,7,9999999,0,0.0,0.0,0.0,7.2202166064981945,45.23809523809524,0.425531914893617,,,,,,
2,200003605,22,2G0064V,7,,,,96,253.0,419,0,194.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,2.0,1.0,1.0,5.20238892965939,0.3993852291408874,4.0,3.0,3.0,5.905361848054571,99.0,1.0,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,2.0,241.0,5.20238892965939,1.0,1.0,0.0,2.0,308.0,5.588418577319942,2.0,2.0,0.0,2011,5,59528,0,0.0,0.0,,1.7112299465240641,9.090909090909092,1.5334063526834611,44.03669724770643,40.0,44.680851063829785,33.02752293577982,40.0,31.914893617021278
4,200013756,12,2G0064V,9,,,,130,262.0,119,0,30.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,7.046647277848756,99.0,3.0,3.0,3.0,,,,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1,6.139884552226255,99.0,1.0,6.139884552226255,99.0,,0,,,,,,,,,,,,,,,,,,,1.0,1149.0,7.046647277848756,1.0,1.0,1.0,2.0,8850.0,7.3488222665934675,2.0,2.0,1.0,2007,12,9999999,0,0.0,0.0,,4.25531914893617,0.0,4.265402843601896,,,,,,
5,200013756,11,2G0064V,10,,,,0,285.0,153,0,92.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,4.0,4.0,4.0,,,,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8850.0,6.971044090815486,4.0,4.0,2.0,2009,2,58491,0,0.0,0.0,0.0,3.7606837606837606,0.0,3.767123287671233,,,,,,
6,200013804,22,2G0064V,10,,,,0,333.0,377,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,4.0,3.0,3.0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,6.2766434893416445,99.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2424.0,5.812948965789433,3.0,3.0,1.0,2010,10,9999999,0,0.0,0.0,0.0,8.893709327548807,10.526315789473683,8.747044917257684,,,,,,
7,200024029,22,2G0064V,6,10.0,138.0,103.845,0,,138,0,52.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,4.0,2.0,2.0,,,,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,412.0,5.062179100792372,2.0,2.0,0.0,2009,1,9999999,0,1.0,,0.0,3.7037037037037033,,3.7037037037037033,,,,,,
8,200024029,21,2G0064V,6,10.0,138.0,103.845,0,,177,0,91.0,0,0.0,0.0,0.0,0.0,0.0,2,1,2,,,,,,4.0,2.0,2.0,,,,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,412.0,5.062179100792372,2.0,2.0,0.0,2009,2,58491,0,0.0,0.0,0.0,4.728546409807356,0.0,4.736842105263158,,,,,,
9,200024029,12,2G0064V,8,10.0,138.0,103.845,107,285.0,17,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,3,,,,,,4.0,2.0,2.0,,,,,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,412.0,5.062179100792372,2.0,2.0,0.0,2010,9,58491,0,1.0,,0.0,13.492063492063492,18.857142857142858,11.428571428571429,,,,,,
10,200024029,11,2G0064V,8,10.0,138.0,103.845,107,285.0,59,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1,4,,,,,,4.0,2.0,2.0,,,,,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,412.0,5.062179100792372,2.0,2.0,0.0,2010,10,58491,0,1.0,,0.0,8.524590163934425,17.82178217821782,7.371007371007371,,,,,,
