,NID,Quarter,Herd,Lact,M_Sys,HWI,ABV_M_Resist,PI-M,Gest,DIM,AbCode,DCC,Ab_RxStat,TBred,Lact_xLame,Life_xLame,Lact_xMetabolic,Life_xMetabolic,Lact_xmast,Lact_qxmast,Life_xmast,TLSCC,TL150SCC,TL200SCC,TL_mean_logSCC,TL_sd_logSCC,LIFESCC,LIFE150SCC,LIFE200SCC,Outcome_Mean_logSCC_next_lact,Outcome_Std_logSCC_next_lact,Outcome_Count_logSCC_next_lact,Outcome_Next_Lact_max_xmast,Outcome_failure_T,Outcome_failure_D,Outcome_Lact_mast_reoccur,Outcome_Recurred,Pregnant,Outcome_Sold,Outcome_num_tests_30to60,Outcome_num_tests_30to60_SCC<200,Outcome_num_tests_60to90,Outcome_num_tests_60to90_SCC<200,Outcome_num_tests_after90,Outcome_num_tests_after90_SCC<200,Outcome_num_tests_30to100,Outcome_30to100_mean_logSCC,Outcome_30to100_sd_mean_logSCC,Outcome_num_tests_30to150,Outcome_30to150_mean_logSCC,Outcome_30to150_sd_mean_logSCC,DSLB,Outcome_Failure,pre_num_tests_0to30,pre_num_tests_0to30_max,pre_num_tests_0to30_logmean,pre_num_tests_0to30_SCC>150,pre_num_tests_0to30_SCC>200,pre_num_tests_0to30_SCC>1000,pre_num_tests_31to60,pre_num_tests_31to60_max,pre_num_tests_31to60_logmean,pre_num_tests_31to60_SCC>150,pre_num_tests_31to60_SCC>200,pre_num_tests_31to60_SCC>1000,pre_num_tests_61to90,pre_num_tests_61to90_max,pre_num_tests_61to90_logmean,pre_num_tests_61to90_SCC>150,pre_num_tests_61to90_SCC>200,pre_num_tests_61to90_SCC>1000,pre_num_tests_g90,pre_num_tests_g90_max,pre_num_tests_g90_logmean,pre_num_tests_g90_SCC>150,pre_num_tests_g90_SCC>200,pre_num_tests_g90_SCC>1000,prelact_SCC_count,prelact_SCC_max,prelact_logSCC_mean,prelact_SCC>150,prelact_SCC>200,prelact_SCC>1000,Rx_Year,Rx_Month,Prev_AllRxCodes,Outcome_Sold100,Outcome_Rec100,Outcome_Shortloss,Outcome_Longloss,pre_herd_mast_percent,pre_herd_fresh_mast_percent,pre_herd_greater14day_mast_percent,pre_herd_SCC_percent_g150,pre_herd_SCC__DIM_less31_percent_g150,pre_herd_SCC__DIM_more30_percent_g150,pre_herd_SCC_percent_g200,pre_herd_SCC__DIM_less31_percent_g200,pre_herd_SCC__DIM_more30_percent_g200
0,210028797,21,2K0084M,4,,,,0,,215,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,8.3670677328386,99.0,1.0,1.0,1.0,,,,,1,1,4,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,1,1.0,4303.0,8.3670677328386,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2015,2,9999999,0,0.0,0.0,0.0,0.40816326530612246,0.0,0.4098360655737705,23.448275862068964,100.0,22.916666666666664,15.862068965517242,0.0,15.972222222222221
1,210028797,300,2K0084M,4,,,,0,,221,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,8.3670677328386,99.0,1.0,1.0,1.0,,,,,1,1,4,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,1,1.0,4303.0,8.3670677328386,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2015,3,47941,0,,0.0,0.0,0.8163265306122449,,0.8163265306122449,23.448275862068964,100.0,22.916666666666664,15.862068965517242,0.0,15.972222222222221
7,210028886,11,2K0084M,5,,,,0,,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,0,0,3,1,0,0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,8,9999999,0,0.0,0.0,0.0,14.285714285714285,17.647058823529413,13.548387096774196,,,,,,
17,210029018,99,2K0084M,4,,,,0,290.0,173,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,,,,,,3.0,3.0,3.0,,,,,0,0,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1642.0,7.005330624399353,3.0,3.0,2.0,2016,10,9999999,0,1.0,,0.0,17.3841059602649,0.0,17.441860465116278,,,,,,
18,210029018,99,2K0084M,4,,,,0,290.0,209,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,,2,,,,,,3.0,3.0,3.0,,,,,1,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1642.0,7.005330624399353,3.0,3.0,2.0,2016,11,49851,0,1.0,,0.0,12.251655629139073,,12.251655629139073,38.2183908045977,100.0,38.04034582132565,31.60919540229885,100.0,31.412103746397698
19,210029018,21,2K0084M,4,,,,0,290.0,214,0,4.0,0,0.0,0.0,0.0,0.0,0.0,2,1,2,,,,,,3.0,3.0,3.0,,,,,1,0,4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1642.0,7.005330624399353,3.0,3.0,2.0,2016,11,49851,0,,0.0,0.0,10.596026490066226,,10.596026490066226,38.2183908045977,100.0,38.04034582132565,31.60919540229885,100.0,31.412103746397698
20,210029018,99,2K0084M,4,,,,0,290.0,255,0,45.0,0,0.0,0.0,0.0,0.0,0.0,3,,3,,,,,,3.0,3.0,3.0,,,,,0,0,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1642.0,7.005330624399353,3.0,3.0,2.0,2017,1,49851,0,1.0,,0.0,6.4453125,,6.4453125,,,,,,
21,210029018,99,2K0084M,4,,,,0,290.0,271,0,61.0,0,0.0,0.0,0.0,0.0,0.0,4,,4,,,,,,3.0,3.0,3.0,,,,,0,0,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1642.0,7.005330624399353,3.0,3.0,2.0,2017,1,49851,0,0.0,0.0,0.0,8.984375,,8.984375,,,,,,
22,210029018,22,2K0084M,4,,,,0,290.0,480,0,270.0,0,0.0,0.0,0.0,0.0,0.0,5,1,5,,,,,,3.0,3.0,3.0,,,,,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1642.0,7.005330624399353,3.0,3.0,2.0,2017,8,47941,0,0.0,0.0,0.0,2.140077821011673,4.580152671755725,1.3054830287206265,,,,,,
28,210029116,99,2K0084M,5,,,,0,284.0,403,0,198.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,1.0,1.0,1.0,6.466144724237619,99.0,3.0,3.0,3.0,,,,,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,1.0,643.0,6.466144724237619,1.0,1.0,0.0,2.0,1036.0,6.4987808845443995,2.0,2.0,1.0,2017,6,9999999,0,1.0,,0.0,6.435643564356436,5.555555555555555,6.462585034013606,,,,,,
