CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
419161403,2,30.0,51,28.0,49,25.0,51,48.0,48,46.0,47,2
H01181399,7,79.0,51,52.0,49,63.0,51,44.0,48,25.0,47,4
H01250034,3,12.0,51,22.0,49,24.0,51,57.0,48,23.0,47,1
H01250049,4,48.0,51,50.0,49,50.0,51,53.0,48,54.0,47,3
H01250049,4,61.0,51,69.0,49,64.0,51,63.0,48,66.0,47,3
H01250049,4,15.0,51,30.0,49,50.0,51,44.0,48,33.0,47,3
H01250057,4,63.0,51,43.0,49,49.0,51,61.0,48,48.0,47,3
H01250129,4,47.0,51,38.0,49,32.0,51,57.0,48,51.0,47,3
H01250129,4,54.0,51,51.0,49,53.0,51,54.0,48,58.0,47,3
H01250137,3,57.0,51,50.0,49,73.0,51,58.0,48,33.0,47,4
H01250137,4,50.0,51,50.0,49,59.0,51,59.0,48,63.0,47,3
H01250137,4,68.0,51,64.0,49,73.0,51,30.0,48,63.0,47,4
H01250137,4,72.0,51,79.0,49,83.0,51,46.0,48,60.0,47,4
H01250142,4,66.0,51,68.0,49,70.0,51,58.0,48,66.0,47,3
H01250150,7,59.0,51,41.0,49,48.0,51,41.0,48,48.0,47,3
H01250151,7,78.0,51,68.0,49,71.0,51,67.0,48,53.0,47,4
H01250156,4,48.0,51,36.0,49,33.0,51,31.0,48,48.0,47,2
H01250157,3,49.0,51,44.0,49,46.0,51,42.0,48,53.0,47,3
H01250157,3,49.0,51,47.0,49,46.0,51,48.0,48,55.0,47,3
H01250157,3,69.0,51,66.0,49,68.0,51,45.0,48,34.0,47,3
H01250164,7,53.0,51,40.0,49,45.0,51,43.0,48,47.0,47,3
H01250169,7,67.0,51,60.0,49,61.0,51,53.0,48,55.0,47,3
H01250169,7,75.0,51,70.0,49,71.0,51,67.0,48,58.0,47,4
H01250174,5,23.0,51,33.0,49,65.0,51,27.0,48,46.0,47,3
H01598364,2,47.0,51,35.0,49,31.0,51,39.0,48,37.0,47,2
H01598373,2,51.0,51,47.0,49,34.0,51,58.0,48,49.0,47,3
H01625650,3,56.0,51,47.0,49,42.0,51,36.0,48,46.0,47,3
H01625650,4,57.0,51,50.0,49,53.0,51,62.0,48,56.0,47,3
H01625657,3,41.0,51,32.0,49,29.0,51,45.0,48,48.0,47,2
H01625659,1,19.0,51,17.0,49,10.0,51,34.0,48,28.0,47,1
H01625672,1,35.0,51,20.0,49,15.0,51,58.0,48,30.0,47,2
N01431015,7,75.0,51,48.0,49,48.0,51,49.0,48,28.0,47,4
N01435022,7,65.0,51,53.0,49,53.0,51,50.0,48,45.0,47,3
N01435029,7,69.0,51,49.0,49,58.0,51,31.0,48,44.0,47,3
N01454192,7,69.0,51,58.0,49,65.0,51,57.0,48,54.0,47,3
N01454192,7,69.0,51,59.0,49,65.0,51,52.0,48,56.0,47,3
N01454192,7,75.0,51,69.0,49,74.0,51,65.0,48,61.0,47,4
N01454199,8,60.0,51,52.0,49,57.0,51,63.0,48,46.0,47,3
N02492613,7,80.0,51,55.0,49,75.0,51,48.0,48,41.0,47,4
N02503352,8,67.0,51,54.0,49,68.0,51,28.0,48,51.0,47,3
N02507099,6,73.0,51,63.0,49,68.0,51,59.0,48,62.0,47,4
N02515900,6,74.0,51,70.0,49,75.0,51,56.0,48,67.0,47,4
N02515900,6,77.0,51,77.0,49,82.0,51,46.0,48,68.0,47,4
N03521458,5,27.0,51,41.0,49,57.0,51,33.0,48,35.0,47,3
N03521458,5,30.0,51,45.0,49,52.0,51,31.0,48,45.0,47,3
N03521458,5,30.0,51,55.0,49,55.0,51,52.0,48,44.0,47,3
N03525486,6,60.0,51,48.0,49,54.0,51,50.0,48,56.0,47,3
N03546885,6,65.0,51,55.0,49,63.0,51,29.0,48,48.0,47,3
N04573895,5,76.0,51,60.0,49,65.0,51,57.0,48,52.0,47,4
N04573895,5,83.0,51,70.0,49,70.0,51,59.0,48,58.0,47,4
