CowID,Lact,DIM,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
H01252857,7,19,75.0,45,65.0,50,79.0,53,62.0,57,53.0,50,4
H01252857,7,41,78.0,45,73.0,50,81.0,53,59.0,57,56.0,50,4
N00405519,8,5,77.0,45,68.0,50,83.0,53,47.0,57,51.0,50,4
N00405519,8,6,77.0,45,68.0,50,83.0,53,46.0,57,51.0,50,4
N00405519,9,4,78.0,45,69.0,50,82.0,53,68.0,57,56.0,50,4
N00414407,8,2,84.0,45,69.0,50,90.0,53,63.0,57,45.0,50,4
N00414407,8,59,90.0,45,74.0,50,93.0,53,61.0,57,54.0,50,5
N00414407,8,99,95.0,45,80.0,50,94.0,53,63.0,57,52.0,50,5
N00414407,8,100,95.0,45,80.0,50,94.0,53,72.0,57,52.0,50,5
N00424993,8,2,80.0,45,70.0,50,80.0,53,57.0,57,48.0,50,4
N00424993,8,8,80.0,45,70.0,50,80.0,53,48.0,57,48.0,50,4
N00428117,8,300,79.0,45,59.0,50,73.0,53,47.0,57,37.0,50,4
N01431625,7,99,85.0,45,74.0,50,78.0,53,60.0,57,53.0,50,4
N01439656,6,14,66.0,45,49.0,50,72.0,53,76.0,57,48.0,50,4
N01439656,6,21,66.0,45,51.0,50,71.0,53,76.0,57,56.0,50,4
N01447505,7,1,74.0,45,58.0,50,82.0,53,52.0,57,45.0,50,4
N01447505,7,1,74.0,45,58.0,50,82.0,53,52.0,57,45.0,50,4
N01447505,7,3,74.0,45,59.0,50,82.0,53,64.0,57,50.0,50,4
N01456259,7,134,82.0,45,69.0,50,77.0,53,80.0,57,56.0,50,4
N01456259,7,140,82.0,45,69.0,50,77.0,53,75.0,57,58.0,50,4
N01456259,7,157,88.0,45,75.0,50,81.0,53,69.0,57,53.0,50,4
N02474525,8,2,67.0,45,58.0,50,69.0,53,61.0,57,51.0,50,3
N02474525,9,5,83.0,45,70.0,50,86.0,53,63.0,57,58.0,50,4
N02474525,9,28,85.0,45,74.0,50,88.0,53,52.0,57,58.0,50,4
N02481827,6,271,16.0,45,38.0,50,51.0,53,41.0,57,40.0,50,3
N02481827,7,10,78.0,45,71.0,50,74.0,53,72.0,57,65.0,50,4
N02489367,6,250,71.0,45,56.0,50,69.0,53,40.0,57,43.0,50,4
N02489367,6,261,78.0,45,66.0,50,75.0,53,29.0,57,54.0,50,4
N02489367,6,277,84.0,45,78.0,50,73.0,53,46.0,57,54.0,50,4
N02489379,6,7,81.0,45,75.0,50,86.0,53,71.0,57,58.0,50,4
N02493496,5,143,67.0,45,53.0,50,67.0,53,63.0,57,60.0,50,3
N02497004,8,153,75.0,45,62.0,50,71.0,53,63.0,57,43.0,50,4
N02500833,5,299,14.0,45,34.0,50,38.0,53,69.0,57,27.0,50,2
N02500833,5,320,16.0,45,43.0,50,46.0,53,55.0,57,27.0,50,2
N02500833,6,48,79.0,45,69.0,50,78.0,53,58.0,57,69.0,50,4
N02512086,7,97,65.0,45,46.0,50,51.0,53,72.0,57,48.0,50,3
N02512086,8,2,64.0,45,56.0,50,58.0,53,67.0,57,62.0,50,3
N03525763,7,126,67.0,45,56.0,50,63.0,53,72.0,57,53.0,50,3
N03525763,7,129,67.0,45,56.0,50,63.0,53,73.0,57,53.0,50,3
N03525763,8,7,78.0,45,61.0,50,77.0,53,59.0,57,52.0,50,4
N03525770,5,275,15.0,45,34.0,50,49.0,53,67.0,57,31.0,50,2
