CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
H01546407,2,51.0,56,34.0,55,50.0,60,24.0,49,52.0,53,3
H01546407,3,63.0,56,64.0,55,75.0,60,51.0,49,67.0,53,4
H01546407,3,73.0,56,59.0,55,69.0,60,42.0,49,35.0,53,4
H01546407,4,82.0,56,73.0,55,77.0,60,30.0,49,65.0,53,4
H01546407,4,82.0,56,79.0,55,79.0,60,38.0,49,69.0,53,4
H01546407,4,84.0,56,81.0,55,75.0,60,51.0,49,58.0,53,4
H01546407,4,36.0,56,68.0,55,68.0,60,35.0,49,62.0,53,3
H01546418,3,39.0,56,46.0,55,42.0,60,56.0,49,61.0,53,3
H01546418,3,21.0,56,48.0,55,41.0,60,34.0,49,31.0,53,2
H01546423,2,24.0,56,37.0,55,43.0,60,53.0,49,58.0,53,3
H01546424,4,60.0,56,51.0,55,44.0,60,48.0,49,59.0,53,3
H01546428,1,19.0,56,15.0,55,10.0,60,38.0,49,38.0,53,2
H01546436,3,20.0,56,41.0,55,48.0,60,50.0,49,48.0,53,2
H01546436,4,70.0,56,59.0,55,69.0,60,56.0,49,62.0,53,3
H01546436,4,70.0,56,61.0,55,71.0,60,59.0,49,63.0,53,4
H01546436,4,77.0,56,72.0,55,77.0,60,58.0,49,69.0,53,4
H01546436,5,86.0,56,79.0,55,84.0,60,52.0,49,68.0,53,4
H01546436,5,90.0,56,82.0,55,87.0,60,30.0,49,65.0,53,4
H01546446,1,58.0,56,31.0,55,29.0,60,59.0,49,39.0,53,3
H01546446,1,64.0,56,53.0,55,62.0,60,54.0,49,54.0,53,3
H01546447,4,52.0,56,41.0,55,42.0,60,31.0,49,51.0,53,3
H01546450,3,11.0,56,41.0,55,54.0,60,55.0,49,30.0,53,3
H01546451,2,40.0,56,50.0,55,53.0,60,54.0,49,65.0,53,3
