CowID,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
H01546407,51.0,56,34.0,55,50.0,60,24.0,49,52.0,53,3
H01546407,63.0,56,64.0,55,75.0,60,51.0,49,67.0,53,4
H01546407,73.0,56,59.0,55,69.0,60,42.0,49,35.0,53,4
H01546407,82.0,56,73.0,55,77.0,60,30.0,49,65.0,53,4
H01546407,82.0,56,79.0,55,79.0,60,38.0,49,69.0,53,4
H01546407,84.0,56,81.0,55,75.0,60,51.0,49,58.0,53,4
H01546407,36.0,56,68.0,55,68.0,60,35.0,49,62.0,53,3
H01546418,39.0,56,46.0,55,42.0,60,56.0,49,61.0,53,3
H01546418,21.0,56,48.0,55,41.0,60,34.0,49,31.0,53,2
H01546423,24.0,56,37.0,55,43.0,60,53.0,49,58.0,53,3
H01546424,60.0,56,51.0,55,44.0,60,48.0,49,59.0,53,3
H01546428,19.0,56,15.0,55,10.0,60,38.0,49,38.0,53,2
H01546436,20.0,56,41.0,55,48.0,60,50.0,49,48.0,53,2
H01546436,70.0,56,59.0,55,69.0,60,56.0,49,62.0,53,3
H01546436,70.0,56,61.0,55,71.0,60,59.0,49,63.0,53,4
H01546436,77.0,56,72.0,55,77.0,60,58.0,49,69.0,53,4
H01546436,86.0,56,79.0,55,84.0,60,52.0,49,68.0,53,4
H01546436,90.0,56,82.0,55,87.0,60,30.0,49,65.0,53,4
H01546446,58.0,56,31.0,55,29.0,60,59.0,49,39.0,53,3
H01546446,64.0,56,53.0,55,62.0,60,54.0,49,54.0,53,3
H01546447,52.0,56,41.0,55,42.0,60,31.0,49,51.0,53,3
H01546450,11.0,56,41.0,55,54.0,60,55.0,49,30.0,53,3
H01546451,40.0,56,50.0,55,53.0,60,54.0,49,65.0,53,3
H01546451,14.0,56,43.0,55,50.0,60,50.0,49,28.0,53,3
H01546452,63.0,56,45.0,55,45.0,60,36.0,49,38.0,53,3
H01546453,28.0,56,22.0,55,14.0,60,37.0,49,36.0,53,2
H01546453,43.0,56,51.0,55,42.0,60,51.0,49,55.0,53,3
H01546456,45.0,56,51.0,55,59.0,60,55.0,49,61.0,53,3
H01546456,58.0,56,61.0,55,69.0,60,53.0,49,67.0,53,3
H01546456,80.0,56,71.0,55,84.0,60,50.0,49,49.0,53,4
H01546456,82.0,56,74.0,55,85.0,60,56.0,49,41.0,53,4
H01546456,82.0,56,80.0,55,87.0,60,41.0,49,45.0,53,4
H01552774,46.0,56,37.0,55,30.0,60,48.0,49,48.0,53,2
H01552774,54.0,56,49.0,55,50.0,60,51.0,49,51.0,53,3
H01552799,38.0,56,43.0,55,31.0,60,58.0,49,50.0,53,3
N01465596,83.0,56,62.0,55,88.0,60,67.0,49,48.0,53,4
N01465596,42.0,56,44.0,55,62.0,60,60.0,49,19.0,53,3
N02479044,72.0,56,56.0,55,70.0,60,30.0,49,46.0,53,4
N02487495,85.0,56,72.0,55,87.0,60,52.0,49,38.0,53,4
N02498769,80.0,56,53.0,55,77.0,60,55.0,49,24.0,53,4
N03523881,69.0,56,54.0,55,62.0,60,51.0,49,49.0,53,3
N03523881,80.0,56,63.0,55,66.0,60,49.0,49,36.0,53,4
N03529273,74.0,56,62.0,55,78.0,60,31.0,49,58.0,53,4
N03529273,74.0,56,65.0,55,78.0,60,40.0,49,60.0,53,4
N03529273,77.0,56,73.0,55,79.0,60,51.0,49,67.0,53,4
N03529273,85.0,56,80.0,55,84.0,60,66.0,49,66.0,53,4
N03532572,84.0,56,71.0,55,88.0,60,42.0,49,42.0,53,4
N03536942,75.0,56,64.0,55,75.0,60,38.0,49,50.0,53,4
N03536942,80.0,56,70.0,55,77.0,60,28.0,49,47.0,53,4
N03539779,68.0,56,46.0,55,64.0,60,19.0,49,42.0,53,3
N03539779,68.0,56,47.0,55,64.0,60,33.0,49,46.0,53,3
N04558656,89.0,56,43.0,55,85.0,60,68.0,49,38.0,53,4
N04565588,69.0,56,59.0,55,66.0,60,59.0,49,56.0,53,3
N04565591,67.0,56,51.0,55,45.0,60,63.0,49,45.0,53,3
N04565593,79.0,56,60.0,55,67.0,60,43.0,49,41.0,53,4
N04565593,87.0,56,66.0,55,76.0,60,34.0,49,20.0,53,4
N04565600,60.0,56,47.0,55,43.0,60,55.0,49,51.0,53,3
N04565609,70.0,56,56.0,55,68.0,60,61.0,49,53.0,53,3
N04565613,69.0,56,47.0,55,62.0,60,46.0,49,46.0,53,3
N04565613,28.0,56,46.0,55,53.0,60,55.0,49,44.0,53,3
N04565613,27.0,56,55.0,55,58.0,60,61.0,49,45.0,53,3
N04570436,79.0,56,37.0,55,66.0,60,49.0,49,54.0,53,4
N04570436,85.0,56,47.0,55,72.0,60,48.0,49,51.0,53,4
N04570447,75.0,56,54.0,55,68.0,60,24.0,49,35.0,53,4
N04574156,76.0,56,60.0,55,72.0,60,65.0,49,54.0,53,4
N04574156,79.0,56,71.0,55,80.0,60,63.0,49,58.0,53,4
N04574156,84.0,56,75.0,55,83.0,60,59.0,49,53.0,53,4
N04574156,88.0,56,79.0,55,84.0,60,56.0,49,60.0,53,4
N04577672,75.0,56,72.0,55,79.0,60,57.0,49,40.0,53,4
N04577672,76.0,56,71.0,55,72.0,60,37.0,49,41.0,53,4
N04577682,67.0,56,52.0,55,52.0,60,49.0,49,53.0,53,3
N04577682,77.0,56,71.0,55,72.0,60,60.0,49,60.0,53,4
N04577682,89.0,56,79.0,55,78.0,60,41.0,49,22.0,53,4
N04577684,83.0,56,76.0,55,90.0,60,65.0,49,56.0,53,4
N04581246,70.0,56,53.0,55,61.0,60,52.0,49,65.0,53,3
N04581246,82.0,56,69.0,55,70.0,60,58.0,49,53.0,53,4
N04581248,74.0,56,58.0,55,68.0,60,35.0,49,48.0,53,4
N04581248,31.0,56,52.0,55,56.0,60,37.0,49,37.0,53,3
N04581248,31.0,56,58.0,55,60.0,60,67.0,49,36.0,53,3
N04581251,77.0,56,47.0,55,53.0,60,47.0,49,26.0,53,4
N04581252,68.0,56,47.0,55,50.0,60,52.0,49,41.0,53,3
N04581253,26.0,56,39.0,55,45.0,60,59.0,49,34.0,53,2
N04581253,81.0,56,68.0,55,81.0,60,63.0,49,63.0,53,4
N04581253,85.0,56,70.0,55,85.0,60,54.0,49,64.0,53,4
N04581253,87.0,56,76.0,55,90.0,60,59.0,49,66.0,53,4
N04581253,88.0,56,83.0,55,94.0,60,66.0,49,65.0,53,5
N04581253,91.0,56,83.0,55,95.0,60,32.0,49,61.0,53,5
N04581253,92.0,56,84.0,55,95.0,60,54.0,49,66.0,53,5
N04581253,92.0,56,85.0,55,96.0,60,51.0,49,58.0,53,5
N04581253,94.0,56,80.0,55,96.0,60,49.0,49,64.0,53,5
N04581257,32.0,56,41.0,55,56.0,60,39.0,49,29.0,53,3
N04581261,68.0,56,57.0,55,58.0,60,60.0,49,61.0,53,3
N04581261,68.0,56,57.0,55,58.0,60,59.0,49,61.0,53,3
N04591642,56.0,56,51.0,55,49.0,60,60.0,49,60.0,53,3
N04591642,26.0,56,53.0,55,51.0,60,59.0,49,58.0,53,3
N04591642,24.0,56,64.0,55,59.0,60,60.0,49,52.0,53,3
N04591642,26.0,56,64.0,55,59.0,60,68.0,49,45.0,53,3
N04591648,69.0,56,48.0,55,67.0,60,48.0,49,49.0,53,3
N04591648,76.0,56,64.0,55,63.0,60,53.0,49,51.0,53,4
N05604298,72.0,56,58.0,55,66.0,60,47.0,49,51.0,53,4
N05604298,80.0,56,70.0,55,73.0,60,60.0,49,54.0,53,4
N05604298,86.0,56,79.0,55,78.0,60,65.0,49,61.0,53,4
N05604300,72.0,56,58.0,55,55.0,60,37.0,49,41.0,53,4
N05604301,65.0,56,50.0,55,63.0,60,52.0,49,59.0,53,3
N05604301,78.0,56,63.0,55,71.0,60,51.0,49,49.0,53,4
N05604302,65.0,56,46.0,55,49.0,60,47.0,49,32.0,53,3
N05608060,71.0,56,59.0,55,69.0,60,66.0,49,47.0,53,4
N05608061,72.0,56,64.0,55,79.0,60,47.0,49,58.0,53,4
N05608061,85.0,56,73.0,55,90.0,60,70.0,49,65.0,53,4
N05608071,70.0,56,55.0,55,68.0,60,68.0,49,40.0,53,3
N05608071,70.0,56,63.0,55,66.0,60,56.0,49,61.0,53,3
N05608071,82.0,56,75.0,55,75.0,60,59.0,49,65.0,53,4
N05608071,84.0,56,78.0,55,80.0,60,51.0,49,68.0,53,4
N05610560,64.0,56,49.0,55,57.0,60,39.0,49,49.0,53,3
N05610560,76.0,56,63.0,55,67.0,60,56.0,49,59.0,53,4
N05613724,72.0,56,53.0,55,76.0,60,40.0,49,49.0,53,4
N05613724,79.0,56,68.0,55,85.0,60,59.0,49,61.0,53,4
N05615425,72.0,56,60.0,55,73.0,60,25.0,49,40.0,53,4
N06645998,61.0,56,45.0,55,48.0,60,52.0,49,52.0,53,3
N06645998,38.0,56,50.0,55,64.0,60,62.0,49,53.0,53,3
N06645998,91.0,56,77.0,55,91.0,60,62.0,49,55.0,53,5
N06652086,86.0,56,62.0,55,82.0,60,46.0,49,43.0,53,4
N06652087,65.0,56,55.0,55,71.0,60,46.0,49,42.0,53,4
N06652090,29.0,56,42.0,55,56.0,60,56.0,49,36.0,53,3
N06652090,27.0,56,50.0,55,62.0,60,52.0,49,38.0,53,3
N06652090,24.0,56,37.0,55,68.0,60,58.0,49,27.0,53,3
N06652090,84.0,56,74.0,55,83.0,60,45.0,49,66.0,53,4
N06652091,17.0,56,32.0,55,37.0,60,53.0,49,38.0,53,2
N06652091,78.0,56,63.0,55,73.0,60,64.0,49,64.0,53,4
N06652091,84.0,56,78.0,55,87.0,60,63.0,49,60.0,53,4
N06652092,68.0,56,60.0,55,66.0,60,59.0,49,65.0,53,3
N06652092,74.0,56,72.0,55,75.0,60,54.0,49,70.0,53,4
N06652092,81.0,56,80.0,55,80.0,60,49.0,49,76.0,53,4
N06652092,35.0,56,57.0,55,62.0,60,64.0,49,75.0,53,4
N06652092,29.0,56,66.0,55,66.0,60,56.0,49,64.0,53,3
N06652092,84.0,56,73.0,55,83.0,60,60.0,49,68.0,53,4
N06652093,64.0,56,50.0,55,62.0,60,53.0,49,55.0,53,3
N06652098,55.0,56,47.0,55,37.0,60,57.0,49,53.0,53,3
N06652098,66.0,56,64.0,55,56.0,60,61.0,49,51.0,53,3
N06652101,50.0,56,52.0,55,47.0,60,57.0,49,61.0,53,3
N06652101,57.0,56,66.0,55,64.0,60,63.0,49,65.0,53,3
N06652101,76.0,56,74.0,55,73.0,60,59.0,49,54.0,53,4
N06652101,25.0,56,60.0,55,64.0,60,32.0,49,56.0,53,3
N06652101,19.0,56,45.0,55,61.0,60,46.0,49,42.0,53,3
N06652101,83.0,56,71.0,55,84.0,60,33.0,49,62.0,53,4
N06652102,80.0,56,61.0,55,79.0,60,57.0,49,36.0,53,4
N06652105,25.0,56,35.0,55,57.0,60,34.0,49,23.0,53,3
N06652105,25.0,56,38.0,55,57.0,60,39.0,49,24.0,53,3
N06652106,35.0,56,53.0,55,64.0,60,55.0,49,55.0,53,3
N06652106,38.0,56,55.0,55,63.0,60,63.0,49,37.0,53,3
N06655501,49.0,56,51.0,55,64.0,60,34.0,49,54.0,53,3
N06655501,63.0,56,62.0,55,67.0,60,54.0,49,60.0,53,3
N06655501,23.0,56,61.0,55,58.0,60,52.0,49,69.0,53,3
N06655501,23.0,56,55.0,55,61.0,60,50.0,49,59.0,53,3
N06655501,15.0,56,42.0,55,66.0,60,41.0,49,51.0,53,3
N06655505,74.0,56,60.0,55,60.0,60,60.0,49,53.0,53,4
N06658440,24.0,56,28.0,55,29.0,60,45.0,49,50.0,53,3
N06658440,16.0,56,29.0,55,39.0,60,43.0,49,18.0,53,2
N06658449,54.0,56,45.0,55,40.0,60,62.0,49,35.0,53,3
N06658449,76.0,56,61.0,55,66.0,60,54.0,49,63.0,53,4
N06658449,82.0,56,74.0,55,69.0,60,40.0,49,67.0,53,4
N06658449,84.0,56,79.0,55,76.0,60,55.0,49,69.0,53,4
N06658449,85.0,56,82.0,55,85.0,60,59.0,49,61.0,53,4
N06658449,86.0,56,82.0,55,86.0,60,51.0,49,67.0,53,4
N06658453,19.0,56,33.0,55,53.0,60,44.0,49,25.0,53,3
N06658453,21.0,56,42.0,55,57.0,60,54.0,49,31.0,53,3
N06663022,61.0,56,53.0,55,49.0,60,62.0,49,34.0,53,3
N07680653,58.0,56,46.0,55,50.0,60,30.0,49,48.0,53,3
N07684304,15.0,56,31.0,55,34.0,60,64.0,49,34.0,53,2
N07684306,65.0,56,63.0,55,60.0,60,38.0,49,47.0,53,3
N07684306,70.0,56,73.0,55,72.0,60,55.0,49,54.0,53,4
N07684306,76.0,56,80.0,55,78.0,60,56.0,49,59.0,53,4
N07684308,68.0,56,61.0,55,79.0,60,58.0,49,59.0,53,4
N07684308,70.0,56,71.0,55,82.0,60,60.0,49,68.0,53,4
N07687957,72.0,56,58.0,55,66.0,60,38.0,49,51.0,53,4
N07687963,28.0,56,36.0,55,59.0,60,31.0,49,39.0,53,3
N07687963,28.0,56,36.0,55,59.0,60,37.0,49,39.0,53,3
N07687964,60.0,56,48.0,55,49.0,60,64.0,49,51.0,53,3
N07687966,13.0,56,33.0,55,51.0,60,51.0,49,29.0,53,3
N07687966,65.0,56,68.0,55,83.0,60,59.0,49,71.0,53,4
N07687966,26.0,56,67.0,55,75.0,60,59.0,49,69.0,53,4
N07687966,85.0,56,76.0,55,87.0,60,54.0,49,63.0,53,4
N07687966,89.0,56,82.0,55,90.0,60,43.0,49,62.0,53,4
N07687966,90.0,56,85.0,55,92.0,60,47.0,49,63.0,53,5
N07687968,85.0,56,55.0,55,82.0,60,26.0,49,51.0,53,4
N07687968,89.0,56,47.0,55,86.0,60,42.0,49,53.0,53,4
N07687968,90.0,56,55.0,55,90.0,60,50.0,49,33.0,53,4
N07687970,15.0,56,23.0,55,30.0,60,56.0,49,35.0,53,2
N07687970,67.0,56,51.0,55,44.0,60,49.0,49,53.0,53,3
N07687971,46.0,56,37.0,55,37.0,60,29.0,49,47.0,53,2
N07687971,51.0,56,43.0,55,37.0,60,44.0,49,51.0,53,3
N07687971,59.0,56,55.0,55,56.0,60,54.0,49,60.0,53,3
N07687971,59.0,56,60.0,55,58.0,60,54.0,49,61.0,53,3
N07687971,79.0,56,61.0,55,74.0,60,53.0,49,67.0,53,4
N07687973,53.0,56,48.0,55,63.0,60,55.0,49,63.0,53,3
N07687973,63.0,56,63.0,55,70.0,60,59.0,49,71.0,53,4
N07687973,29.0,56,59.0,55,57.0,60,50.0,49,74.0,53,4
N07687973,20.0,56,43.0,55,66.0,60,48.0,49,35.0,53,3
N07687976,15.0,56,35.0,55,32.0,60,62.0,49,38.0,53,2
N07687976,79.0,56,66.0,55,83.0,60,58.0,49,35.0,53,4
N07687976,84.0,56,79.0,55,81.0,60,57.0,49,49.0,53,4
N07687977,84.0,56,66.0,55,88.0,60,50.0,49,56.0,53,4
N07687977,89.0,56,75.0,55,91.0,60,51.0,49,58.0,53,5
N07687977,89.0,56,75.0,55,91.0,60,57.0,49,56.0,53,5
N07687977,92.0,56,83.0,55,93.0,60,47.0,49,58.0,53,5
