,NID,Quarter,Herd,Lact,PI-M,Gest,DIM,AbCode,DCC,Ab_RxStat,TBred,Lact_xLame,Life_xLame,Lact_xMetabolic,Life_xMetabolic,Lact_xmast,Lact_qxmast,Life_xmast,TLSCC,TL150SCC,TL200SCC,TL_mean_logSCC,TL_sd_logSCC,LIFESCC,LIFE150SCC,LIFE200SCC,HRxCodes,AllRxCodes,Pregnant,DSLB,pre_num_tests_0to30,pre_num_tests_0to30_max,pre_num_tests_0to30_logmean,pre_num_tests_0to30_SCC>150,pre_num_tests_0to30_SCC>200,pre_num_tests_0to30_SCC>1000,pre_num_tests_31to60,pre_num_tests_31to60_max,pre_num_tests_31to60_logmean,pre_num_tests_31to60_SCC>150,pre_num_tests_31to60_SCC>200,pre_num_tests_31to60_SCC>1000,pre_num_tests_61to90,pre_num_tests_61to90_max,pre_num_tests_61to90_logmean,pre_num_tests_61to90_SCC>150,pre_num_tests_61to90_SCC>200,pre_num_tests_61to90_SCC>1000,pre_num_tests_g90,pre_num_tests_g90_max,pre_num_tests_g90_logmean,pre_num_tests_g90_SCC>150,pre_num_tests_g90_SCC>200,pre_num_tests_g90_SCC>1000,prelact_SCC_count,prelact_SCC_max,prelact_logSCC_mean,prelact_SCC>150,prelact_SCC>200,prelact_SCC>1000,Rx_Year,Rx_Month,Prev_AllRxCodes,pre_herd_mast_percent,pre_herd_fresh_mast_percent,pre_herd_greater14day_mast_percent,pre_herd_SCC_percent_g150,pre_herd_SCC__DIM_less31_percent_g150,pre_herd_SCC__DIM_more30_percent_g150,pre_herd_SCC_percent_g200,pre_herd_SCC__DIM_less31_percent_g200,pre_herd_SCC__DIM_more30_percent_g200
0,211023578,22.0,2K0054J,4,116,,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,3,9999999,6.802721088435375,9.722222222222223,4.0,53.73134328358209,54.54545454545454,0.0,43.28358208955223,43.93939393939394,0.0
1,211023578,21.0,2K0054J,5,124,272.0,6,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,4.0,1.0,1.0,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,407.0,4.32909954490332,1.0,1.0,0.0,2019,3,58491,1.2021857923497268,7.4074074074074066,0.5995203836930456,16.0,,16.0,9.6,,9.6
2,211023578,21.0,2K0054J,6,103,281.0,22,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,1.0,1.0,1.0,9.21024036697585,,11.0,4.0,4.0,58491,58491,0,,1.0,9999.0,9.21024036697585,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,10.0,787.0,4.71310552045027,3.0,3.0,0.0,2020,4,58491,0.7640878701050621,2.631578947368421,0.6937561942517344,25.449101796407188,34.78260869565217,23.0188679245283,18.263473053892216,31.88405797101449,14.716981132075471
3,211023578,21.0,2K0054J,6,103,281.0,153,0,0.0,0,2.0,0.0,0.0,0.0,0.0,2,2,3,3.0,2.0,1.0,6.089376205253451,2.7598799121735347,13.0,5.0,4.0,61252,61252,0,41.0,,,,,,,1.0,53.0,3.970291913552122,0.0,0.0,0.0,1.0,162.0,5.087596335232384,1.0,0.0,0.0,1.0,9999.0,9.21024036697585,1.0,1.0,1.0,10.0,787.0,4.71310552045027,3.0,3.0,0.0,2020,8,58491,1.2030075187969926,0.0,1.5355086372360844,33.33333333333333,,33.33333333333333,33.33333333333333,,33.33333333333333
4,211023578,12.0,2K0054J,7,131,278.0,147,0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,,3,3.0,3.0,3.0,6.397846593512466,0.31341166434291523,23.0,12.0,11.0,46337,46337,0,10.0,,,,,,,1.0,833.0,6.725033642166843,1.0,1.0,0.0,1.0,446.0,6.100318952020064,1.0,1.0,0.0,1.0,583.0,6.368187186350492,1.0,1.0,0.0,20.0,9999.0,5.217986961877841,9.0,8.0,2.0,2022,1,61252,0.29895366218236175,,0.29895366218236175,27.363184079601986,,27.363184079601986,18.407960199004975,,18.407960199004975
5,212004168,22.0,2K0054J,5,119,,42,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,5.814130531825066,,1.0,1.0,1.0,58491,58491,0,,,,,,,,1.0,335.0,5.814130531825066,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,2018,4,9999999,4.0,0.0,4.2682926829268295,53.73134328358209,54.54545454545454,0.0,43.28358208955223,43.93939393939394,0.0
6,212004172,12.0,2K0054J,6,126,274.0,234,0,99.0,0,2.0,0.0,0.0,0.0,0.0,1,1,1,6.0,1.0,1.0,3.9161096394120984,1.0714892442155712,15.0,5.0,5.0,58491,58491,1,99.0,1.0,237.0,5.4680601411351315,1.0,1.0,0.0,1.0,115.0,4.74493212836325,0.0,0.0,0.0,1.0,51.0,3.9318256327243257,0.0,0.0,0.0,3.0,40.0,3.1172799780832943,0.0,0.0,0.0,9.0,1728.0,4.9331460667450635,4.0,4.0,1.0,2020,4,9999999,0.8571428571428572,0.0,0.8849557522123894,25.449101796407188,34.78260869565217,23.0188679245283,18.263473053892216,31.88405797101449,14.716981132075471
7,212004492,12.0,2K0054J,4,86,,6,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,8.265650165580329,,1.0,1.0,1.0,58491,"58491, 61252",0,,1.0,3888.0,8.265650165580329,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2018,3,9999999,4.098360655737705,3.7735849056603774,6.25,53.73134328358209,54.54545454545454,0.0,43.28358208955223,43.93939393939394,0.0
8,212014657,22.0,2K0054J,4,104,,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,3,9999999,4.166666666666666,3.296703296703297,20.0,,,,,,
9,212017405,12.0,2K0054J,4,78,,38,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,58491,58491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,4,9999999,3.3707865168539324,0.0,3.592814371257485,53.73134328358209,54.54545454545454,0.0,43.28358208955223,43.93939393939394,0.0
